GPU Time data
1024, 385
2048, 983
4096, 3388
7680, 10927
10240, 19192
12800, 29876
1024, 537
2048, 970
4096, 3273
7680, 10939
10240, 19261
12800, 29869
1024, 433
2048, 974
4096, 3307
7680, 11257
10240, 19333
12800, 29902
1024, 425
2048, 971
4096, 3308
7680, 11198
10240, 19306
12800, 30187
1024, 437
2048, 982
4096, 3319
7680, 11288
10240, 19201
12800, 30021
1024, 427
2048, 990
4096, 3302
7680, 10976
10240, 19309
12800, 30119
1024, 422
2048, 976
4096, 3298
7680, 10981
10240, 19276
12800, 30252
1024, 417
2048, 961
4096, 3301
7680, 12263
10240, 20634
12800, 31546
1024, 1412
2048, 1935
4096, 4301
7680, 12323
10240, 20692
12800, 31655
1024, 1399
2048, 1934
4096, 4306
7680, 12190
10240, 20707
12800, 31644
